NAME,STATE,CITY,COUNTY,WEBSITE,TOT_ENROLL,NAICS_DESC,TELEPHONE
AMERICAN COLLEGE OF HEALTHCARE SCIENCES,OR,PORTLAND,MULTNOMAH,www.achs.edu/,856,COMPUTER TRAINING,(503) 244-0726 EXT 103
UNIVERSITY OF MASSACHUSETTS-AMHERST,MA,AMHERST,HAMPSHIRE,www.umass.edu/,31642,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(413) 545-0111
SIERRA NEVADA UNIVERSITY,NV,INCLINE VILLAGE,WASHOE,www.sierranevada.edu/,617,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(775) 831-1314
UNITED EDUCATION INSTITUTE-UEI COLLEGE SAN MARCOS,CA,SAN MARCOS,SAN DIEGO,https://www.uei.edu/,719,OTHER TECHNICAL AND TRADE SCHOOLS,(760) 690-5200
FLORIDA CAREER COLLEGE-WEST PALM BEACH,FL,WEST PALM BEACH,PALM BEACH,https://www.floridacareercollege.edu/,869,JUNIOR COLLEGES,(561) 282-5441
AMERICAN TRADE SCHOOL,MO,SAINT ANN,ST. LOUIS,www.americantradeschool.edu/,128,OTHER TECHNICAL AND TRADE SCHOOLS,(314) 423-1900
UNIVERSITY OF GEORGIA,GA,ATHENS,CLARKE,www.uga.edu/,39147,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(706) 542-3000
MIDFIELD INSTITUTE OF COSMETOLOGY,AL,MIDFIELD,JEFFERSON,www.midfieldic.edu/,17,COSMETOLOGY AND BARBER SCHOOLS,(205) 925-7600
YESHIVAS MAHARIT D'SATMAR,NY,MONROE,ORANGE,yeshivasmaharit.com/,143,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(845) 782-1380
SEATTLE FILM INSTITUTE,WA,SEATTLE,KING,https://www.sfi.edu/#fronttable,96,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(206) 568-4387
PAUL MITCHELL THE SCHOOL-NAMPA,ID,NAMPA,CANYON,paulmitchell.edu/nampa/,148,COSMETOLOGY AND BARBER SCHOOLS,(208) 287-4065
SINCLAIR COMMUNITY COLLEGE,OH,DAYTON,MONTGOMERY,www.sinclair.edu/,18687,JUNIOR COLLEGES,(937) 512-3000
HERZING UNIVERSITY-BROOKFIELD,WI,BROOKFIELD,WAUKESHA,https://www.herzing.edu/,498,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(262) 649-1710
WADE COLLEGE,TX,DALLAS,DALLAS,https://www.wadecollege.edu/,180,JUNIOR COLLEGES,(214) 637-3530
ORLEANS TECHNICAL COLLEGE,PA,PHILADELPHIA,PHILADELPHIA,https://www.orleanstech.edu/,269,JUNIOR COLLEGES,(215) 728-4700
PENNSYLVANIA STATE UNIVERSITY-COLLEGE OF MEDICINE,PA,HERSHEY,DAUPHIN,med.psu.edu/,-999,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(717) 531-8563
AMERICAN INSTITUTE-TOMS RIVER,NJ,TOMS RIVER,OCEAN,www.americaninstitute.com/,324,JUNIOR COLLEGES,(732) 719-2730
PENNSYLVANIA STATE UNIVERSITY-MAIN CAMPUS,PA,UNIVERSITY PARK,CENTRE,NOT AVAILABLE,-999,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",NOT AVAILABLE
JOSEPH F MCCLOSKEY SCHOOL OF NURSING,PA,POTTSVILLE,SCHUYLKILL,www.schuylkillhealthschoolofnursing.com/,60,OTHER TECHNICAL AND TRADE SCHOOLS,(570) 621-5035
BLUE CLIFF CAREER COLLEGE,AL,MOBILE,MOBILE,www.blue.edu/,42,COSMETOLOGY AND BARBER SCHOOLS,(251) 473-2220
CITADEL MILITARY COLLEGE OF SOUTH CAROLINA,SC,CHARLESTON,CHARLESTON,www.citadel.edu/,3740,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(843) 225-3294
UNIVERSITY OF SOUTH CAROLINA-UPSTATE,SC,SPARTANBURG,SPARTANBURG,www.uscupstate.edu/,6038,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(864) 503-5000
EL PASO COMMUNITY COLLEGE,TX,EL PASO,EL PASO,www.epcc.edu/,26034,JUNIOR COLLEGES,(915) 831-2000
METRO TECHNOLOGY CENTERS,OK,OKLAHOMA CITY,OKLAHOMA,https://www.metrotech.edu/,1027,OTHER TECHNICAL AND TRADE SCHOOLS,(405) 424-8324
CET-COACHELLA,CA,COACHELLA,RIVERSIDE,https://cetweb.edu/,79,OTHER TECHNICAL AND TRADE SCHOOLS,(408) 287-7924
JACKSONVILLE STATE UNIVERSITY,AL,JACKSONVILLE,CALHOUN,www.jsu.edu/,9238,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(256) 782-5781
H COUNCILL TRENHOLM STATE COMMUNITY COLLEGE,AL,MONTGOMERY,MONTGOMERY,www.trenholmstate.edu/,1526,JUNIOR COLLEGES,(334) 420-4200
TRINIDAD STATE JUNIOR COLLEGE,CO,TRINIDAD,LAS ANIMAS,www.trinidadstate.edu/,1404,JUNIOR COLLEGES,(719) 846-5011
COLLEGE OF INTERNATIONAL ESTHETICS INC,CO,ARVADA,JEFFERSON,www.cieskincarecollege.com,-999,COSMETOLOGY AND BARBER SCHOOLS,(720) 540-0333
VINCENNES UNIVERSITY,IN,VINCENNES,KNOX,https://www.vinu.edu/,16048,JUNIOR COLLEGES,(812) 888-8888
HOLLINS UNIVERSITY,VA,ROANOKE,ROANOKE,www.hollins.edu/,795,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(540) 362-6000
DIGITAL FILM ACADEMY,NY,NEW YORK,NEW YORK,www.digitalfilmacademy.edu/,102,OTHER TECHNICAL AND TRADE SCHOOLS,(212) 333-4013
JAMESTOWN COMMUNITY COLLEGE,NY,JAMESTOWN,CHAUTAUQUA,www.sunyjcc.edu/,3430,JUNIOR COLLEGES,(716) 338-1000
MALONE UNIVERSITY,OH,CANTON,STARK,https://www.malone.edu/,1463,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(330) 471-8100
VALLEY FORGE MILITARY COLLEGE,PA,WAYNE,DELAWARE,www.vfmac.edu/,110,JUNIOR COLLEGES,(610) 989-1450
PAUL MITCHELL THE SCHOOL-GRAND RAPIDS,MI,KENTWOOD,KENT,paulmitchell.edu/grandrapids,104,COSMETOLOGY AND BARBER SCHOOLS,(616) 975-7778
BAY AREA MEDICAL ACADEMY,CA,SAN FRANCISCO,SAN FRANCISCO,www.bamasf.com/,160,OTHER TECHNICAL AND TRADE SCHOOLS,(415) 217-0077
BRANFORD HALL CAREER INSTITUTE-AMITYVILLE,NY,AMITYVILLE,SUFFOLK,www.branfordhall.edu,-999,OTHER TECHNICAL AND TRADE SCHOOLS,(631) 608-9113
GATEWAY COMMUNITY COLLEGE,CT,NEW HAVEN,NEW HAVEN,www.gatewayct.edu/,6003,JUNIOR COLLEGES,(203) 285-2000
SOUTHWESTERN MICHIGAN COLLEGE,MI,DOWAGIAC,CASS,www.swmich.edu/,1759,JUNIOR COLLEGES,(269) 782-1000
ELITE COLLEGE OF COSMETOLOGY,TN,LEXINGTON,HENDERSON,www.elitecollegeofcosmetology.com/,72,COSMETOLOGY AND BARBER SCHOOLS,(731) 968-5400
TENNESSEE COLLEGE OF APPLIED TECHNOLOGY-WHITEVILLE,TN,WHITEVILLE,HARDEMAN,www.tcatwhiteville.edu/,280,OTHER TECHNICAL AND TRADE SCHOOLS,(731) 254-8521 EXT 300
PAINE COLLEGE,GA,AUGUSTA,RICHMOND,www.paine.edu/,189,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(706) 821-8200
UNIVERSITY OF CALIFORNIA-SANTA CRUZ,CA,SANTA CRUZ,SANTA CRUZ,www.ucsc.edu/,19161,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(831) 459-0111
NORTHWESTERN CONNECTICUT COMMUNITY COLLEGE,CT,WINSTED,LITCHFIELD,www.nwcc.commnet.edu/,1228,JUNIOR COLLEGES,(860) 738-6300
UNIVERSITY OF LOUISIANA AT LAFAYETTE,LA,LAFAYETTE,LAFAYETTE,www.louisiana.edu/,16450,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(377) 482-1000
MAINE COLLEGE OF HEALTH PROFESSIONS,ME,LEWISTON,ANDROSCOGGIN,www.mchp.edu/,216,JUNIOR COLLEGES,(207) 795-2840
HEBREW COLLEGE,MA,NEWTON CENTRE,MIDDLESEX,www.hebrewcollege.edu/,137,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(617) 559-8600
KIRTLAND COMMUNITY COLLEGE,MI,GRAYLING,CRAWFORD,www.kirtland.edu/,1330,JUNIOR COLLEGES,(989) 275-5000
RAINY RIVER COMMUNITY COLLEGE,MN,INTERNATIONAL FALLS,KOOCHICHING,https://www.rainyriver.edu/,173,JUNIOR COLLEGES,(218) 285-7722
MONTANA STATE UNIVERSITY BILLINGS,MT,BILLINGS,YELLOWSTONE,www.msubillings.edu/,4000,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(406) 657-2011
RIZZIERI AVEDA SCHOOL FOR BEAUTY AND WELLNESS,NJ,VOORHEES,CAMDEN,www.rizzierischools.com/,268,COSMETOLOGY AND BARBER SCHOOLS,(856) 988-8600
WAYNE COMMUNITY COLLEGE,NC,GOLDSBORO,WAYNE,www.waynecc.edu/,2701,JUNIOR COLLEGES,(919) 735-5151
MAYVILLE STATE UNIVERSITY,ND,MAYVILLE,TRAILL,www.mayvillestate.edu/,1168,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(701) 788-2301
EMPIRE BEAUTY SCHOOL-LANCASTER,PA,LANCASTER,LANCASTER,www.empire.edu/,55,COSMETOLOGY AND BARBER SCHOOLS,(800) 920-4593
SAINT VINCENT SEMINARY,PA,LATROBE,WESTMORELAND,www.saintvincentseminary.edu/,54,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(724) 805-2395
ERIE 2 CHAUTAUQUA CATTARAUGUS BOCES-PRACTICAL NURSING PROGRAM,NY,ANGOLA,CHAUTAUQUA,www.e2ccb.org/,94,OTHER TECHNICAL AND TRADE SCHOOLS,(716) 549-4454 EXT 4055
THE NEW SCHOOL,NY,NEW YORK,NEW YORK,https://www.newschool.edu/,9047,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(212) 229-5600
COMMUNITY COLLEGE OF BALTIMORE COUNTY,MD,BALTIMORE,BALTIMORE,www.ccbcmd.edu/,17573,JUNIOR COLLEGES,(443) 840-2222
IOWA STATE UNIVERSITY,IA,AMES,STORY,www.iastate.edu/,31822,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(515) 294-4111
COLLEGE OF SAINT BENEDICT,MN,SAINT JOSEPH,STEARNS,https://csbsju.edu/,1668,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(320) 363-5011
HAIRMASTERS INSTITUTE OF COSMETOLOGY,IL,BLOOMINGTON,MCLEAN,www.hair-masters.com/,90,COSMETOLOGY AND BARBER SCHOOLS,(309) 828-1884
DELTA STATE UNIVERSITY,MS,CLEVELAND,BOLIVAR,www.deltastate.edu/,2999,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(662) 846-3000
FRANKLIN PIERCE UNIVERSITY,NH,RINDGE,CHESHIRE,www.franklinpierce.edu/,1928,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(603) 899-4000
SULLIVAN COUNTY COMMUNITY COLLEGE,NY,LOCH SHELDRAKE,SULLIVAN,www.sunysullivan.edu/,1701,JUNIOR COLLEGES,(845) 434-5750
PHAGANS GRANTS PASS COLLEGE OF BEAUTY,OR,GRANTS PASS,JOSEPHINE,www.phagans-schools.com/,39,COSMETOLOGY AND BARBER SCHOOLS,(541) 479-6678
DLP CONEMAUGH MEMORIAL MEDICAL CENTER,PA,JOHNSTOWN,CAMBRIA,www.conemaugh.org/education,187,OTHER TECHNICAL AND TRADE SCHOOLS,(814) 534-5844
D'JAY'S INSTITUTE OF COSMETOLOGY AND ESTHIOLOGY,LA,BATON ROUGE,EAST BATON ROUGE,www.djaysschoolofbeauty.com,-999,COSMETOLOGY AND BARBER SCHOOLS,(225) 272-6595
AUSTIN COLLEGE,TX,SHERMAN,GRAYSON,www.austincollege.edu/,1302,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(903) 813-2000
RANDOLPH-MACON COLLEGE,VA,ASHLAND,HANOVER,www.rmc.edu/,1554,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(804) 752-7200
MARANATHA BAPTIST UNIVERSITY,WI,WATERTOWN,JEFFERSON,www.mbu.edu/,916,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(920) 261-9300
COLLEGE OF WILMINGTON,NC,WILMINGTON,NEW HANOVER,www.collegeofwilmington.edu/,149,COSMETOLOGY AND BARBER SCHOOLS,(910) 763-4418
SELMA UNIVERSITY,AL,SELMA,DALLAS,selmauniversity.edu/,-999,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(334) 872-2533 EXT 101
